id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
6.2196E+17,The Historic Jesse Buel Farmhouse w Heated Pool,382970529,Thomas,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,882,1,330
9.32642E+17,Stylish top floor apt wparking,232967878,Diana,THIRTEENTH WARD,42.67224,-73.79301,Entire home/apt,106,1,86
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,341
20671966,The Metropolitan,98744672,Bela,NINTH WARD,42.65532,-73.78244,Entire home/apt,58,2,248
24606880,The Western Suite,98744672,Bela,NINTH WARD,42.65431,-73.78178,Private room,50,2,340
1.098E+18,New Center square studio,232967878,Diana,SIXTH WARD,42.65269,-73.76567,Entire home/apt,93,2,83
53483727,Spacious Urban APT w4BR  Office in Albany,433096110,Brian,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,156,1,217
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,142,1,227
6623339,Center Sq. Loft in Converted Precinct w Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,96,2,294
1.25639E+18,Lovely 1 bedroom across the park,37769478,Erion,SIXTH WARD,42.65422977,-73.76982577,Entire home/apt,88,1,364
1.28908E+18,"1 bedroom apt close to hospitals,3min to Albanymed",484673863,Michaela,TENTH WARD,42.65701241,-73.78116252,Entire home/apt,70,1,336
9.37928E+17,Hudson 4 at The Argus Hotel,526358730,Argus,TENTH WARD,42.66043,-73.77432,Private room,165,1,300
9.37838E+17,Hudson 2 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65867,-73.77479,Private room,165,1,304
1.07544E+18,The Tangerine Door,542733174,Rebecca,TWELFTH WARD,42.67908,-73.79505,Entire home/apt,126,2,29
1.05154E+18,Renovated Cozy 1920’s Apartment,31994990,Gonca,SEVENTH WARD,42.64478,-73.7764,Entire home/apt,53,28,26
9.38272E+17,Knickerbocker 3 The Argus Hotel,526358730,Argus,SIXTH WARD,42.65868,-73.77333,Private room,243,1,340
9.37935E+17,Hudson 5 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65847,-73.77272,Private room,161,1,336
8.06768E+17, Modern Luxury Cottage in Central ALB,110453341,Alexis,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,361
9.3826E+17,Whalen 4 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65893,-73.77448,Private room,180,1,335
1.29433E+18,Modern Luxury 2 bedroom wyard,353498132,Michael,EIGHTH WARD,42.64592834,-73.79876141,Entire home/apt,155,13,149
1.22749E+18,Audubon Apartment\ 3bed 1bath built1928 Pine Hill,52123673,Joseph,THIRTEENTH WARD,42.66955,-73.78542,Entire home/apt,158,2,364
1.27461E+18,Cozy room in the heart of Albany,32379616,Fabiola,THIRD WARD,42.66487531,-73.76730339,Private room,37,28,364
9.3796E+17,Whalen 2 Deluxe at The Argus Hotel,526358730,Argus,TENTH WARD,42.66003,-73.7732,Private room,186,1,334
7.84781E+17,Private bedroom and private bath wseparate entry,491907850,Donna,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,83
28519423,Albany MedicalDtwn AlbanyCollegesRED ROOM M.,89705052,Share,TENTH WARD,42.65746,-73.77904,Private room,51,2,121
7.56753E+17,Private Room in the Center of the Albany,69729286,Musab,SIXTH WARD,42.65259,-73.76732,Private room,47,5,214
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,335
1.24645E+18,Room close to AMC and St peter,652223872,Umit,TENTH WARD,42.65941683,-73.78360268,Private room,53,3,364
52042995,B-Room for students  professionals close to all.,160832560,Luke,FIFTEENTH WARD,42.67643,-73.82903,Private room,41,2,342
38321579,Comfy and quiet,172223381,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,53,1,140
1.18346E+18,Albany Business Class Apartment,42708277,Rodney,SIXTH WARD,42.6524,-73.76351,Entire home/apt,60,1,51
47334913,"Newly renovated,Amazing Location,private parking",152762198,Allen,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,91,3,152
6.89719E+17,"Elegant, spacious studio apt in historic mansion",1717342,David,SIXTH WARD,42.65405765,-73.760713,Entire home/apt,83,1,212
8.87168E+17,The Comfort II,459472925,Gabriel,THIRD WARD,42.66246,-73.76576,Private room,36,1,363
1.36543E+18,"Cozy 2 bed1 Bath, 2nd Floor Apt",664328482,Oluyinka,SECOND WARD,42.6436654,-73.7536006,Entire home/apt,98,1,345
30189794,Seashore Suite At The Inn on South Lake,98744672,Bela,NINTH WARD,42.6533,-73.78114,Private room,59,2,247
1.21088E+18,Charming Home,147780154,Julia,EIGHTH WARD,42.65812,-73.81912,Entire home/apt,199,3,358
52923647,Cozy 3BR House in Whitehall near DT Albany,428451585,Erwin,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,225,3,364
50211226,Cozy Studio By Washington Park | Walkable!,105597161,Kate And Jake,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,104,2,348
5.81058E+17,UNIQUE spacious LOFT with photo studio wd!,47625981,Linda,THIRD WARD,42.65848,-73.76359,Entire home/apt,92,1,362
9.38476E+17,Colorful and eclectic apartment,132766782,Kelly,TWELFTH WARD,42.67398,-73.79126,Entire home/apt,113,3,260
1.17038E+18,An Oasis 8 ppl Yard Grill WD\,580892646,Crystal,SECOND WARD,42.64349,-73.75906,Entire home/apt,313,2,109
